GRID_1K_CD,pop,emp,pc_in
가다7667,0,0,0.0
가다7671,0,0,0.0
가다7672,0,0,0.0
가다7765,0,0,0.0
가다7766,0,0,0.0
가다7767,0,0,0.0
가다7769,0,0,0.0
가다7771,0,0,0.0
가다7772,0,0,0.0
가다7865,0,0,0.0
가다7866,0,0,0.0
가다7867,27,5,0.0004
가다7868,3,0,0.0
가다7869,0,0,0.0
가다7870,0,0,0.0
가다7871,0,0,0.0
가다7872,0,0,0.0
가다7964,0,0,0.0
가다7965,0,0,0.0
가다7966,0,0,0.0
가다7967,0,0,0.0
가다7968,25,0,0.0028
가다7969,0,0,0.0
가다8064,76,35,0.0135
가다8065,1,3,0.0004
가다8066,0,0,0.0
가다8067,0,0,0.0
가다8068,0,3,0.0
가다8164,219,63,0.0191
가다8165,0,0,0.0
가다8166,0,0,0.0
가다8264,0,0,0.0
가다8265,0,0,0.0
가라8633,0,0,0.0
가라8732,0,0,0.0
가라8733,0,0,0.0
가라8734,0,0,0.0
가라8735,0,0,0.0
가라8832,0,0,0.0
가라8833,0,0,0.0
가라8834,355,156,0.0211
가라8835,0,0,0.0
가라8836,0,0,0.0
가라8838,0,0,0.0
가라8934,0,8,0.0
가라8935,0,0,0.0
가라8936,0,0,0.0
가라8937,77,17,0.0024
가라8938,0,0,0.0
가라8939,0,0,0.0
가라9035,0,0,0.0
가라9036,0,0,0.0
가라9037,0,0,0.0
가라9038,0,0,0.0
가라9505,0,0,0.0
가라9506,0,0,0.0
가라9507,0,0,0.0
가라9601,0,0,0.0
가라9602,0,0,0.0
가라9603,0,0,0.0
가라9604,0,0,0.0
가라9605,12,0,0.0
가라9606,75,8,0.0008
가라9607,2,0,0.0
가라9608,0,0,0.0
가라9700,0,0,0.0
가라9701,76,11,0.002
가라9702,29,11,0.0004
가라9703,0,0,0.0
가라9707,0,0,0.0
가라9708,0,0,0.0
가라9709,0,0,0.0
가라9710,0,0,0.0
가라9800,0,0,0.0
가라9801,0,0,0.0
가라9802,0,0,0.0
가라9809,0,0,0.0
가라9810,0,0,0.0
가라9901,0,0,0.0
가사4699,0,0,0.0
가사4796,0,0,0.0
가사4797,0,0,0.0
가사4798,0,0,0.0
가사4799,0,0,0.0
가사4895,0,0,0.0
가사4896,0,0,0.0
가사4897,8,0,0.0008
가사4898,194,3,0.0119
가사4899,0,0,0.0
가사4981,0,0,0.0
가사4982,0,0,0.0
가사4995,72,3,0.002
가사4996,0,0,0.0
가사4997,1,14,0.0032
가사4998,84,4,0.0012
가사4999,50,3,0.0024
가사5083,0,0,0.0
가사5084,0,0,0.0
가사5095,23,36,0.0032
가사5096,0,0,0.0
가사5097,0,0,0.0
가사5098,76,15,0.0092
가사5099,407,233,0.0509
가사5181,0,0,0.0
가사5182,0,0,0.0
가사5183,0,0,0.0
가사5184,0,0,0.0
가사5194,0,0,0.0
가사5195,162,25,0.0048
가사5196,33,0,0.0008
가사5197,0,0,0.0
가사5198,0,0,0.0
가사5199,871,83,0.0696
가사5281,0,0,0.0
가사5282,25,3,0.0004
가사5283,37,0,0.0012
가사5284,4,0,0.0
가사5285,0,0,0.0
가사5294,0,0,0.0
가사5295,0,0,0.0
가사5296,173,13,0.0044
가사5297,7,7,0.002
가사5298,0,0,0.0
가사5299,48,9,0.0028
가사5382,0,0,0.0
가사5383,0,0,0.0
가사5384,239,22,0.0147
가사5385,237,109,0.0342
가사5386,0,0,0.0
가사5387,0,0,0.0
가사5394,0,0,0.0
가사5395,8,0,0.0
가사5396,0,0,0.0008
가사5397,0,0,0.0
가사5398,0,0,0.0016
가사5399,0,0,0.0004
가사5482,0,0,0.0
가사5483,76,21,0.004
가사5484,361,140,0.0354
가사5485,53,21,0.0024
가사5486,170,25,0.006
가사5495,0,0,0.0
가사5496,0,0,0.0004
가사5497,1,3,0.0008
가사5498,0,0,0.0
가사5499,4,13,0.0052
가사5575,0,0,0.0
가사5576,0,3,0.0
가사5577,2,0,0.0
가사5582,0,0,0.0
가사5583,0,0,0.0
가사5584,1,18,0.0
가사5585,0,0,0.0
가사5586,0,0,0.0004
가사5597,0,0,0.0
가사5598,282,48,0.0175
가사5599,13,45,0.0008
가사5676,0,0,0.0
가사5677,38,0,0.0004
가사5678,2,0,0.0008
가사5685,0,0,0.0
가사5686,0,0,0.0
가사5698,97,36,0.0143
가사5699,1,0,0.0
가사5777,0,0,0.0
가사5778,111,38,0.0092
가사5798,37,13,0.0
가사5799,0,0,0.0
가사5877,0,0,0.0
가사5878,58,7,0.002
가사5898,0,0,0.0
가사5899,0,0,0.0
가사5977,0,0,0.0
가사5978,0,0,0.0
가사5979,0,0,0.0
가사6079,0,0,0.0
가아4600,0,0,0.0008
가아4601,36,36,0.0024
가아4700,4,9,0.0016
가아4701,11,3,0.0004
가아4800,0,0,0.0
가아4900,14,8,0.0016
가아4901,0,0,0.0
가아5000,0,0,0.0
가아5001,0,0,0.0
가아5100,0,0,0.0
가아5101,0,0,0.0
가아5200,10,3,0.0012
가아5201,8,8,0.0
가아5300,50,34,0.0068
가아5301,61,5,0.0016
가아5400,82,68,0.0155
가아5401,8,7,0.0008
가아5500,1539,586,0.1357
가아5501,75,12,0.0012
가아5600,21,7,0.002
가아5601,0,0,0.0
나나7380,0,0,0.0
나나7480,0,0,0.0
나나7481,0,0,0.0
나나7576,0,0,0.0
나나7577,17,31,0.0068
나나7578,102,42,0.0131
나나7579,1,8,0.0008
