O_GID,D_GID,VOL
다사5844,다사5844,548.58
다사4641,다사4542,432.62
다라3469,다라3469,431.46
다사6017,다사6017,413.96
다사6045,다사6045,411.62
다사5452,다사5452,395.42
다사4947,다사4947,391.17
다사6547,다사6547,374.96
마라0155,마라0056,370.17
다사4747,다사4947,348.75
다사5352,다사5352,344.58
다사5843,다사5843,331.75
다사4642,다사4642,328.92
나라9739,나라9639,319.0
다사5851,다사5851,317.42
마마0163,마마0163,313.17
다바7832,다바7833,301.54
다바9213,다바9213,301.5
다바7733,다바7833,300.71
다사6113,다사6113,300.58
다사4929,다사4929,300.38
다바8817,다바8917,297.96
다바8917,다바8917,293.71
다사5149,다사5149,293.38
다사6748,다사6748,291.42
다사5150,다사4947,285.42
다사6530,다사6530,283.96
다사5944,다사5944,280.17
라마6090,라마6092,278.0
다사5332,다사5332,276.79
다라3570,다라3469,276.17
나라9739,나라9738,275.83
다사4932,다사4932,275.17
다바8916,다바8916,273.54
다바9017,다바8917,273.38
다바7834,다바7833,270.58
다사3039,다사3039,264.5
마마7425,마마7526,255.79
다사4943,다사4943,255.79
다바9018,다바8917,255.08
라라5986,라라5687,250.46
다사7050,다사7050,250.25
다사6446,다사6446,250.04
다바7732,다바7833,249.58
마라4786,마라4887,247.04
다사4640,다사4542,246.21
다사4641,다사4541,246.0
다사4642,다사4542,243.88
다사4746,다사4947,243.38
다바9016,다바8917,242.17
다사4151,다사4151,238.67
다사4542,다사4542,238.17
다사4747,다사4847,237.92
마라4387,마라4387,237.75
다사5843,다사5844,237.67
다바6588,다바6588,235.67
다사5150,다사5352,234.38
다바9122,다바9122,234.38
마마7322,마마7224,233.71
다바8818,다바8917,233.21
다마6060,다마6060,230.62
다사3144,다사3144,229.08
다사6642,다사6642,228.54
다사6849,다사6849,227.88
다사6848,다사6848,227.46
다사6643,다사6643,225.75
다사5351,다사5351,224.62
다사7037,다사7137,224.62
다사4450,다사4947,220.54
다사4641,다사4641,219.92
마라4388,마라4388,219.79
마라0155,라라9957,219.46
마라2777,마라2777,219.25
라바6143,라바6143,218.83
다바7734,다바7833,218.46
다사6044,다사6044,216.5
다사5451,다사5451,215.62
다사6348,다사6348,214.83
다사3738,다사3738,214.21
다바8447,다바8448,214.12
다바9016,다바8916,211.62
다사6016,다사6017,211.08
다사5132,다사5132,210.92
다사4846,다사4947,210.88
다바8916,다바8917,210.71
다라4091,다라4091,210.5
마라4185,마라4185,210.5
마라4284,마라4284,209.92
다사4944,다사4944,209.71
다사5751,다사5751,209.04
마마3604,마마3604,208.29
마마6527,마마6527,207.12
마라4285,마라4285,206.08
다바8915,다바8916,204.96
다바8915,다바8917,202.71
다사5142,다사5844,202.62
마마7527,마마7526,202.25
다사6262,다사6262,201.79
라마8544,라마8544,201.46
다사5149,다사4947,200.29
라마9361,라마9361,199.0
다사6013,다사6113,197.54
다바9013,다바9013,197.21
다바2650,다바2651,196.88
다사4642,다사4643,196.0
다사4747,다사4747,195.67
다라3569,다라3469,195.62
다바8816,다바8917,195.54
라마9358,라마9358,195.25
다사6529,다사6529,195.21
마마7322,마마7322,194.42
라마6092,라마6092,193.88
다사5946,다사5946,193.12
다사6021,다사6017,192.67
다바6968,다바6968,192.25
마마7425,마마7525,191.79
다사4024,다사4024,191.58
다사5150,다사5149,191.5
다사5150,다사5150,190.92
다사4932,다사5032,190.04
다바6093,다바6093,189.79
다사4447,다사4447,189.75
다마6457,다마6457,189.67
다사4643,다사4643,189.46
다사4640,다사4541,188.88
다사7038,다사7137,188.12
다사4450,다사4450,187.83
다사6345,다사6345,187.79
다사5150,다사5452,187.54
다사6750,다사6750,186.83
마라0991,마라0792,186.83
마라4078,마라4078,185.62
다사6112,다사6113,185.58
다사5746,다사5746,185.12
다사4648,다사4947,184.17
다사4640,다사4640,182.67
다사6353,다사6353,182.54
다바7835,다바7833,182.5
다사3644,다사3644,181.88
다사6113,다사6114,181.75
마바6725,마바6725,180.71
라마5593,라마5593,180.54
라바8644,라바8942,180.33
다사6855,다사6855,180.29
다사6248,다사6248,180.04
다사5643,다사5643,179.96
마라4692,마라4692,179.46
다사2638,다사2638,179.46
마라3879,마라3879,179.29
다사2436,다사2436,178.92
다사5912,다사6113,178.08
다사4932,다사5132,178.04
다사4011,다사3906,177.58
마라2979,마라2979,177.54
다사6063,다사6063,177.46
다사5652,다사5652,177.38
다사6838,다사6838,177.29
다사4942,다사4942,176.08
다사4742,다사4542,175.96
다사5752,다사5752,175.92
다바8346,다바8448,175.83
다사5745,다사5745,175.71
다사6546,다사6546,175.38
다사4946,다사4947,175.38
다사6016,다사6016,175.33
다사7037,다사7037,173.54
다사6644,다사6644,173.12
다사4241,다사4241,172.96
다바8926,다바9025,172.75
다사4020,다사4024,171.67
마라5287,마라5287,171.5
다사5142,다사5142,171.25
다바9214,다바9214,171.21
다사4442,다사4442,171.12
다사3039,다사2939,171.04
다사5856,다사5856,170.92
다사4742,다사4642,170.88
마라4283,마라4283,170.54
라마9564,라마9564,170.54
다사5443,다사5443,170.42
다사4149,다사4149,170.08
다사5143,다사5143,170.08
다사5644,다사5644,170.04
나라9639,나라9738,170.04
다사6020,다사6017,169.92
다사5251,다사5251,169.83
다사5149,다사5352,169.25
다사7038,다사7038,169.12
다바7834,다바7834,168.88
다사5028,다사5128,168.83
다사3249,다사3249,168.0
다사5251,다사5352,167.62
다사4647,다사4947,167.62
다바6071,다바6571,167.58
마마7427,마마7526,167.54
다사6426,다사6426,167.5
다사6642,다사6643,167.46
라마9765,라마9765,167.25
다마6559,다마6559,167.08
다사6210,다사6210,166.92
다사5942,다사5942,166.92
다바8818,다바8818,166.75
다사5858,다사5858,166.46
다라3470,다라3469,166.21
다사5645,다사5645,165.88
마라4285,마라4284,165.83
다사7252,다사7252,165.79
다사5853,다사5853,165.5
라라9687,라라9687,165.12
다사6850,다사6850,164.79
다사5049,다사5149,164.71
다사6243,다사6243,164.58
다사6445,다사6445,164.21
다사4742,다사4742,163.92
다사5232,다사5132,163.62
다사5233,다사5233,163.5
다사4833,다사4833,163.04
다바6093,다바6293,163.04
다사5133,다사5132,162.71
다사6149,다사6149,162.54
다사2660,다사2660,162.38
라마9357,라마9357,162.04
다사4157,다사4157,161.88
다사5049,다사4947,161.17
라바0611,라바0611,160.96
다바6095,다바6093,160.5
다바7831,다바7831,160.12
다사6258,다사6258,159.71
마라3884,마라3884,159.58
다사5131,다사5132,158.83
마라0991,마라0991,158.67
다사6112,다사6112,158.33
다바9348,다바9350,157.79
다마5373,다마5373,157.62
다사5030,다사5030,157.54
마라0792,마라0792,157.42
라마7788,라마7989,157.33
다사4653,다사4653,157.17
마라2979,마라2378,156.75
다사6648,다사6648,156.71
다사4149,다사4151,156.58
다사5251,다사5351,156.38
다사5252,다사5352,156.38
다사4350,다사4947,156.29
다사4648,다사4648,156.08
마마7425,마마7425,156.08
다사4442,다사4542,155.79
다사3546,다사3547,155.75
다사5033,다사5132,155.54
다사6162,다사6162,155.5
다사9943,다사9943,155.38
다라3468,다라3469,155.25
라마9471,라마9471,154.58
다사6519,다사6519,154.08
다사5150,다사5451,153.96
마라4081,마라4080,153.83
다사4545,다사4545,153.62
다사5918,다사6017,153.42
마마7425,마마7627,153.33
라마8290,라마8290,153.21
다사2840,다사2840,153.12
다바7833,다바7833,153.12
다나1198,다나1198,153.04
다사2939,다사2939,152.92
다사5150,다사5351,152.83
다라4084,다라4084,152.54
마라4682,마라4682,152.5
라마9262,라마9262,152.46
다라3685,다라3685,152.21
다사4847,다사4947,152.21
다사4644,다사4644,152.12
다사2740,다사2740,151.92
다나0599,다나0599,151.58
다사6737,다사6737,151.54
다사4162,다사4162,151.54
다사4957,다사4957,151.29
다사4547,다사4947,151.29
다사3545,다사3545,150.83
다사5916,다사6017,150.75
다사5951,다사5951,150.58
다사4845,다사4947,150.42
마라3794,마라3794,150.17
마마0165,마마0165,149.62
마마1321,마마1321,149.21
다바8816,다바8916,149.17
라바8942,라바8942,149.12
다사4641,다사4642,149.04
다바7735,다바7833,148.96
다사4543,다사4543,148.92
다사4847,다사4847,148.79
다사3445,다사3445,148.79
다사5651,다사5651,148.75
다바9414,다바9414,148.62
마라4496,마라4496,148.54
라라8354,라라8451,148.38
마마6738,마마6738,148.17
다사5752,다사5452,147.83
다사4150,다사4150,147.71
다라3568,다라3469,147.67
라마2025,라마2024,147.58
다사7349,다사7349,147.58
다사3738,다사3737,147.5
다사4647,다사4647,147.29
다사3943,다사3943,147.25
다사6747,다사6747,147.08
마마6228,마마6228,147.0
다사3952,다사3952,146.75
다사3045,다사3045,146.67
마라1990,마라1990,146.08
다바9017,다바8916,146.04
다사6049,다사6049,145.88
다사2433,다사2433,145.88
마라4081,마라4081,145.83
라마7591,라마7591,145.79
다라4290,다라4290,145.79
다사4331,다사4331,145.62
마라5186,마라5186,145.5
다사4933,다사5132,144.83
다사3546,다사3646,144.79
다사5756,다사5756,144.75
다사6844,다사6844,144.62
다바9017,다바9017,144.58
마라4389,마라4389,144.38
마마0065,마마0065,144.25
다사6145,다사6145,144.17
라마9666,라마9666,144.04
다사4855,다사4855,144.04
다사4535,다사4535,143.92
다사5744,다사5744,143.71
다사5051,다사5051,143.67
다사5818,다사5818,143.67
라라5688,라라5687,143.12
다사5944,다사5844,142.79
다라3686,다라3685,142.71
나라9639,나라9639,142.25
다사6054,다사6054,142.08
다사4441,다사4441,142.04
다사6116,다사6017,141.83
다사4857,다사4857,141.75
다사7250,다사7250,141.67
마마1321,마마1323,141.58
다바8523,다바8724,141.33
마마1164,마마1164,141.29
다사4856,다사4856,141.08
다바9349,다바9349,140.92
다사6632,다사6632,140.92
라바2731,라바2731,140.75
다사5131,다사5131,140.71
다사4246,다사4246,140.58
다사5423,다사5423,140.54
다사2735,다사2735,140.21
마마3603,마마3604,140.04
라마8544,라마8338,139.79
다사6349,다사6348,139.75
다사6546,다사6446,139.62
마라4387,마라4388,139.54
다사5854,다사5854,139.46
다바9447,다바9447,139.25
마라4790,마라4790,139.21
다사6162,다사6161,139.17
마라0155,라라9956,139.12
마마0164,마마0164,139.12
다사4745,다사4947,139.12
다사4844,다사4844,139.08
다사6323,다사6323,139.08
다사5551,다사5551,139.04
다사2741,다사2741,139.0
다사5919,다사5920,139.0
다마6708,다마6708,138.88
마마5010,마마5010,138.88
다사3143,다사3143,138.83
다사9520,다사9520,138.71
다사6117,다사6017,138.54
다사9916,다사9816,138.42
다사4745,다사4745,138.42
마마1321,마마1322,138.33
다바7934,다바7833,138.21
다사6152,다사6151,138.17
다사4447,다사4947,138.0
다사5452,다사5352,137.67
다바6870,다바6571,137.67
마라4494,마라4494,137.5
마라3879,마라3979,137.46
다사6152,다사6152,137.46
라라1761,라라1761,137.38
라마9763,라마9763,137.33
다사4124,다사4024,137.25
다사4543,다사4643,137.21
다사5760,다사5760,137.04
다사5332,다사5132,137.04
다사6020,다사6020,137.04
다바6093,다바6192,137.0
다사6088,다사6088,136.75
다바8512,다바8512,136.75
라마8643,라마8544,136.75
다사3645,다사3646,136.67
다사3644,다사3646,135.79
다사5818,다사6017,135.42
다사5233,다사5132,135.12
다사4743,다사4743,135.0
다사4449,다사4947,134.71
라사3826,라사3826,134.5
다사6738,다사6738,134.42
다나1274,다나1273,134.21
마마7425,마마7626,133.92
라마9865,라마9765,133.88
다사4351,다사4947,133.79
마라5288,마라5288,133.62
다사3565,다사3565,133.58
다사4853,다사4853,133.58
다바9314,다바9314,133.5
다사3847,다사3847,133.46
다라3787,다라3685,133.08
다사6545,다사6545,132.88
다사3133,다사3133,132.83
다사5759,다사5759,132.79
다사4640,다사4641,132.79
마마7322,마마7526,132.79
다사6052,다사6052,132.25
다사3327,다사3126,132.12
다사6847,다사6847,131.96
다사5749,다사5749,131.92
다바6770,다바6571,131.83
다사6648,다사6547,131.79
마라4887,마라4887,131.62
다사4023,다사4023,131.54
다사7251,다사7250,131.42
다사3645,다사3645,131.33
다바6571,다바6571,131.25
다사4928,다사4929,131.08
다바9546,다바9546,131.08
다사5953,다사5953,130.83
다바8818,다바8918,130.83
마라4490,마라4490,130.79
다사2647,다사2647,130.25
다사5860,다사5860,130.08
마마6781,마마6781,130.08
마라3979,마라3979,130.04
다사4942,다사5844,129.96
다사5819,다사5819,129.92
다바7835,다바7834,129.88
라마8338,라마8338,129.83
라마6092,라마5593,129.75
마바0741,마바0741,129.71
다사5750,다사5750,129.67
다사6045,다사6145,129.58
라마9863,라마9863,129.54
다사6144,다사6144,129.42
다사5049,다사5049,129.25
다사5851,다사5451,129.17
다사5744,다사5844,129.08
다바9013,다바8917,128.92
마마0062,마마0062,128.83
마마6527,마마6528,128.83
마마5464,마마5462,128.75
라마9866,라마9866,128.67
다사5130,다사5130,128.62
다사5553,다사5553,128.46
다라0998,다라0998,128.46
다바3728,다바3728,128.25
다사6743,다사6643,128.12
다사6043,다사6043,128.12
다사6248,다사6348,128.04
마마3704,마마3604,128.04
마라4685,마라4685,127.96
마라4789,마라4887,127.88
다사4548,다사4548,127.75
다사5845,다사5845,127.58
다사6088,다사6089,127.54
다바6730,다바6730,127.46
마마6886,마마6886,127.46
다바8815,다바8917,127.46
다사6533,다사6633,127.21
다바6097,다바6093,127.08
다사6161,다사6161,127.0
다사5850,다사5851,126.92
다사4943,다사5844,126.88
다사7351,다사7351,126.88
다바6095,다바6293,126.83
다사6544,다사6544,126.5
라마9572,라마9572,126.0
다사5847,다사5847,125.96
다사5846,다사5846,125.5
마마1060,마마1060,125.5
다사6748,다사6547,125.38
라마9571,라마9571,125.38
다사4124,다사4124,125.25
다사6734,다사6734,125.17
다사4023,다사4024,125.17
마마0063,마마0063,124.96
다사4450,다사4847,124.88
마라4291,마라4291,124.75
다사4947,다사4847,124.54
마라0353,마라0254,124.5
다바7832,다바7832,124.25
다바9115,다바8917,124.25
다사3149,다사3149,124.21
다마4329,다마4130,124.04
다사4545,다사4947,124.0
다사6061,다사6061,123.96
라마9571,라마9572,123.83
다사3545,다사3646,123.79
다사6511,다사6511,123.75
다사7151,다사7151,123.71
마라1889,마라1889,123.58
라라1761,라라1760,123.54
라바6143,라바6244,123.46
마라4483,마라4483,123.29
다바8817,다바8916,123.12
다사6016,다사6113,123.08
다사5755,다사5755,122.96
다라0546,다라0547,122.67
다사2946,다사2946,122.54
마마0162,마마0162,122.42
마마1059,마마1059,122.21
다사3128,다사3126,122.12
다사4345,다사4345,122.04
다바7890,다바7989,122.04
다바6870,다바6870,121.92
다사5242,다사5844,121.88
다사5855,다사5855,121.79
다사2735,다사2833,121.67
마마7427,마마7525,121.58
다바7831,다바7833,121.54
마라4489,마라4489,121.5
다사5718,다사5718,121.5
다사6956,다사6956,121.46
다사4351,다사4351,121.46
다사2556,다사2556,121.33
다사3130,다사3126,121.33
다사6529,다사6528,121.25
다사5029,다사4929,121.21
다사5850,다사5850,121.12
마바6990,마바6989,121.12
다사4752,다사4752,121.08
다사4944,다사4542,121.0
마마0964,마마0964,120.92
다마6959,다마6959,120.83
다사6643,다사6642,120.83
다사5433,다사5433,120.83
다바8518,다바8518,120.71
다바9350,다바9450,120.71
다사5150,다사5251,120.71
다사5142,다사6045,120.67
다사4748,다사4947,120.62
다사5650,다사5650,120.5
다사2448,다사2448,120.5
다사3562,다사3562,120.5
다사7349,다사7250,120.21
다사6748,다사6848,120.12
다사6044,다사5944,120.08
라마9361,라마9362,120.04
다사6011,다사6011,120.04
마라0255,마라0255,119.92
라마3643,라마3743,119.88
다마6555,다마6555,119.75
다사5150,다사4847,119.71
다사4148,다사4148,119.62
다사6252,다사6252,119.46
다사4150,다사4151,119.46
다사3737,다사3738,119.29
마라5288,마라5287,119.29
마라3793,마라3794,119.21
다사5030,다사4929,119.17
다사4746,다사4847,119.12
다사6053,다사6053,119.08
다사6012,다사6113,119.08
다나0699,다나0599,119.0
다사5653,다사5652,119.0
마마6528,마마6528,118.96
다마5473,다마5473,118.92
다사4957,다사5352,118.83
다사6849,다사6848,118.79
다사4543,다사4542,118.67
라마8544,라마8643,118.67
다사5970,다사5970,118.5
다마6654,다마6654,118.5
라마9866,라마9765,118.42
다바0564,다바0564,118.38
라마9157,라마9157,118.38
다사4250,다사4250,118.33
다사5250,다사5351,118.29
다사5421,다사5421,118.21
라마9864,라마9864,118.12
라라0161,라라0161,118.04
다사5027,다사5027,118.0
다사4844,다사4947,118.0
라마9257,라마9257,118.0
다사4348,다사4348,117.96
다사5333,다사5333,117.96
다사6148,다사6148,117.96
다사2260,다사2260,117.92
다바8915,다바8915,117.79
다바6080,다바6080,117.79
다마4229,다마4130,117.75
라사3726,라사3726,117.67
마마5563,마마5563,117.62
