O_GID,D_GID,VOL
다사5844,다사5844,3540.12
다사5452,다사5452,2951.04
다사4947,다사4947,2152.69
다사5352,다사5352,2130.02
다사5051,다사5051,2091.32
다사5451,다사5451,2037.34
다사5351,다사5351,1836.18
다사6045,다사6045,1826.49
마라4285,마라4285,1698.45
다사6445,다사6445,1512.73
다사5854,다사5854,1477.9
다사5645,다사5645,1458.57
다사5551,다사5551,1367.08
다사5149,다사5149,1290.65
다사6044,다사6044,1282.92
마라4185,마라4185,1275.98
다사5843,다사5843,1203.73
다사5851,다사5851,1152.75
다사5142,다사5142,1134.61
다사4447,다사4447,1100.77
다사5652,다사5652,1093.42
다사6748,다사6748,1089.6
다사5746,다사5746,1074.3
마라5186,마라5186,1056.56
다사5050,다사5050,1051.78
다사5951,다사5951,1040.98
다사0739,다사0739,1038.5
마라4583,마라4583,1027.58
마마0066,마마0066,1020.28
다사5553,다사5553,1019.82
다사4746,다사4746,1018.57
다사5944,다사5944,1012.49
마라3979,마라3979,993.11
다사3144,다사3144,978.65
다사4850,다사4850,972.54
다사4942,다사4942,972.11
다사5552,다사5552,968.4
다사5132,다사5132,961.8
다사6345,다사6345,958.2
다사6249,다사6249,954.32
다사6348,다사6348,941.72
다사6848,다사6848,940.04
다사7050,다사7050,932.67
다사3039,다사3039,929.68
다사5751,다사5751,928.78
다사6529,다사6529,925.21
다사4653,다사4653,923.89
다사4950,다사4950,921.61
다사5754,다사5754,917.02
다사5452,다사5352,907.05
다사4833,다사4833,905.08
다사5745,다사5745,904.02
라마9361,라마9361,900.69
다사5352,다사5452,896.51
다사6546,다사6546,890.91
다사6446,다사6446,882.45
다사4943,다사4943,878.35
다사6855,다사6855,874.87
다사2539,다사2539,873.45
다사3562,다사3562,862.3
다사5946,다사5946,862.16
다사5752,다사5752,851.27
마라5287,마라5287,851.15
마마0163,마마0163,847.6
다사6849,다사6849,845.43
라라9687,라라9687,840.24
다사5151,다사5151,836.82
다사5452,다사5552,836.43
다사5853,다사5853,832.92
다사6530,다사6530,831.07
마마6527,마마6527,829.63
다사5643,다사5643,828.38
다사6250,다사6250,818.19
다사6248,다사6248,813.55
다사6631,다사6631,811.31
다사6054,다사6054,811.0
다사6262,다사6262,810.46
마라3794,마라3794,808.97
라마9358,라마9358,803.11
다사5856,다사5856,802.59
마라0792,마라0792,791.79
다바9314,다바9314,787.44
마라4494,마라4494,785.62
다사6850,다사6850,784.17
다사0739,다사0640,783.76
다사7252,다사7252,782.15
다사6747,다사6747,779.24
다사6648,다사6648,778.83
다사5947,다사5947,778.06
다사4857,다사4857,776.93
다사6353,다사6353,776.85
마라4887,마라4887,775.54
마라4683,마라4683,767.09
다사6258,다사6258,763.69
다사6049,다사6049,763.16
마라4388,마라4388,760.12
다사5818,다사5818,759.11
다사5443,다사5443,758.62
다사4932,다사4932,757.65
다사4944,다사4944,754.9
다사4855,다사4855,752.81
다사4157,다사4157,751.04
다사5150,다사5150,744.57
다사4957,다사4957,744.01
다사5756,다사5756,743.51
다사4542,다사4542,739.58
다사6161,다사6161,736.72
마라4387,마라4387,724.88
다사6838,다사6838,720.69
다사6642,다사6642,717.65
다사4929,다사4929,717.09
다사6144,다사6144,716.49
다사4149,다사4149,712.78
다사6545,다사6545,710.6
다사5847,다사5847,708.85
다사6547,다사6547,705.27
마마6628,마마6628,703.08
다사5860,다사5860,702.91
다사6145,다사6145,697.86
다사5744,다사5744,694.85
다사2740,다사2740,693.85
라마9470,라마9470,693.59
다사0541,다사0541,690.71
다사5453,다사5453,690.17
다사5251,다사5251,687.77
다바9013,다바9013,683.35
마라4790,마라4790,683.14
다사5332,다사5332,681.35
다사5554,다사5554,680.74
다사6157,다사6157,680.66
다사3143,다사3143,680.19
다사5650,다사5650,676.88
다바6588,다바6588,676.15
다라4091,다라4091,672.28
다사4124,다사4124,671.17
다사6210,다사6210,669.83
다바6730,다바6730,668.35
마마7425,마마7425,668.17
다사6162,다사6162,666.19
다사5858,다사5858,663.55
다사5442,다사5442,663.54
다사4856,다사4856,662.82
다사5143,다사5143,662.68
다사6734,다사6734,662.42
다사6750,다사6750,661.01
다사4162,다사4162,655.62
다사4951,다사4951,655.08
다사4023,다사4023,655.04
마라2777,마라2777,646.74
다사6155,다사6155,646.66
다사6149,다사6149,646.59
다사6643,다사6643,644.14
다사5145,다사5145,639.38
다바9122,다바9122,638.63
다사3445,다사3445,637.73
마라3879,마라3879,632.65
다사6053,다사6053,631.72
다사5749,다사5749,631.22
다사2436,다사2436,628.06
다사6020,다사6020,626.57
다사5857,다사5857,624.46
다사6644,다사6644,621.96
다사7038,다사7038,621.81
다사4853,다사4853,621.74
다사3644,다사3644,619.74
다사5651,다사5651,618.54
다사2433,다사2433,618.19
다사6261,다사6261,615.94
다사6088,다사6088,612.31
다사5755,다사5755,609.17
다사5653,다사5653,608.1
마라4185,마라4285,607.25
다사4742,다사4742,603.42
다사4151,다사4151,602.99
다바9349,다바9349,601.21
다사6052,다사6052,597.55
다사6043,다사6043,597.06
다사5350,다사5350,596.35
라마9564,라마9564,596.24
라마9863,라마9863,593.89
다사4450,다사4450,593.73
다사3943,다사3943,592.74
다사4548,다사4548,591.28
마라4081,마라4081,591.01
다사2840,다사2840,588.04
다사3738,다사3738,587.83
다사4441,다사4441,586.76
다사5760,다사5760,585.7
라마8962,라마8962,583.35
다사5953,다사5953,583.35
다사4642,다사4642,583.01
다사2735,다사2735,582.54
다사5518,다사5518,581.94
다사5844,다사5843,580.56
다사4545,다사4545,579.37
마라3380,마라3380,579.17
다사4643,다사4643,578.02
마라4285,마라4185,574.72
다사6355,다사6355,574.67
다사5247,다사5247,573.99
다사5451,다사5351,570.35
다사3565,다사3565,568.84
다사5845,다사5845,568.33
다사5843,다사5844,568.24
다사4442,다사4442,567.65
다사6217,다사6217,567.54
라마9864,라마9864,567.15
다사6148,다사6148,566.13
